C:\Users\vince\anaconda3\lib\site-packages\pyglet\image\codecs\wic.py:406: UserWarning: [WinError -2147417850] 无法在设置线程模式后对其加以更改。
  warnings.warn(str(err))
Episode: 65 | Reward: 91.5872406301059 | Polciy Loss: 24.59689712524414 | Steps: 42234
Episode: 66 | Reward: 201.3703596421848 | Polciy Loss: 20.656715393066406 | Steps: 42688
Episode: 67 | Reward: 198.1287722217701 | Polciy Loss: 16.019275665283203 | Steps: 43181
Episode: 68 | Reward: 210.70163300969574 | Polciy Loss: 26.44566535949707 | Steps: 43652
Episode: 69 | Reward: 196.43187272220607 | Polciy Loss: 14.900752067565918 | Steps: 44406
Episode: 70 | Reward: 190.34737123373924 | Polciy Loss: 24.584178924560547 | Steps: 45327
Episode: 71 | Reward: 195.31236845199015 | Polciy Loss: 17.232818603515625 | Steps: 45789
Episode: 72 | Reward: 247.57303286559934 | Polciy Loss: 19.300029754638672 | Steps: 46239
Episode: 73 | Reward: 32.86056238567521 | Polciy Loss: 27.019325256347656 | Steps: 47239
Episode: 74 | Reward: 64.57856964262942 | Polciy Loss: 20.54800796508789 | Steps: 48239
Episode: 75 | Reward: 186.34537975983255 | Polciy Loss: 14.805081367492676 | Steps: 48701
Episode: 76 | Reward: 244.39260354997512 | Polciy Loss: 23.63241958618164 | Steps: 49106
Episode: 77 | Reward: 198.4403988814015 | Polciy Loss: 15.514788627624512 | Steps: 49901
Episode: 78 | Reward: 247.43023629136619 | Polciy Loss: 17.960140228271484 | Steps: 50338
Episode: 79 | Reward: 196.79756493264432 | Polciy Loss: 23.460891723632812 | Steps: 50917
Episode: 80 | Reward: -132.65974192047736 | Polciy Loss: 21.848796844482422 | Steps: 51690
Episode: 81 | Reward: 2.122514776660451 | Polciy Loss: 19.579517364501953 | Steps: 52690
Episode: 82 | Reward: 273.8431430975577 | Polciy Loss: 30.972124099731445 | Steps: 53113
Episode: 83 | Reward: 245.52890440854398 | Polciy Loss: 19.8685245513916 | Steps: 53615
Episode: 84 | Reward: 221.39315475265573 | Polciy Loss: 14.125731468200684 | Steps: 54276
Episode: 85 | Reward: 245.01480122469337 | Polciy Loss: 20.275781631469727 | Steps: 54583
Episode: 86 | Reward: 205.34261425329817 | Polciy Loss: 15.047526359558105 | Steps: 54971
Episode: 87 | Reward: 251.98315512569883 | Polciy Loss: 17.605674743652344 | Steps: 55313
Episode: 88 | Reward: -91.71914254758508 | Polciy Loss: 19.8452205657959 | Steps: 55903
Episode: 89 | Reward: 192.70171679924908 | Polciy Loss: 40.12335205078125 | Steps: 56417
Episode: 90 | Reward: 260.52348617427754 | Polciy Loss: 17.705982208251953 | Steps: 56868
Episode: 91 | Reward: 265.75080123426324 | Polciy Loss: 12.454085350036621 | Steps: 57251
Episode: 92 | Reward: 272.2522291127384 | Polciy Loss: 18.755826950073242 | Steps: 57658
Episode: 93 | Reward: 284.8248831059476 | Polciy Loss: 34.86172866821289 | Steps: 58047
Episode: 94 | Reward: 262.4110531361939 | Polciy Loss: 28.651464462280273 | Steps: 58404
Episode: 95 | Reward: 252.0113007063684 | Polciy Loss: 21.970312118530273 | Steps: 58761
Episode: 96 | Reward: 204.8078352344145 | Polciy Loss: 31.172927856445312 | Steps: 59165
Episode: 97 | Reward: -105.77613960320197 | Polciy Loss: 27.241474151611328 | Steps: 59750
Episode: 98 | Reward: 205.62082717910891 | Polciy Loss: 17.04443359375 | Steps: 60375
Episode: 99 | Reward: 251.99626485275638 | Polciy Loss: 34.733726501464844 | Steps: 60726
Episode: 100 | Reward: 215.09659196420907 | Polciy Loss: 18.111818313598633 | Steps: 61247
